,id,Unit,Stories,Year,Type,trasp1,trasp2,trasp3,trasp4,trasp5,trasp_index,Price,sold_or_rent,Bedroom,Bathroom,Area
5,70968,2,3,1901,Rental Building,0.44,0.46,0.67,0.71,0.72,8.736517223,6500,Rent,4,2.5,1700
6,70968,2,3,1901,Rental Building,0.44,0.46,0.67,0.71,0.72,8.736517223,6500,Rent,4,2.5,1700
13,71080,3,5,1899,Rental Building,0.13,0.22,0.22,0.3,0.33,23.14685315,2000,Rent,1,1,650
17,71118,1,3,1930,Two-Family Home,0.13,0.17,0.23,0.29,0.3,24.70409592,19950,Rent,2,4,2600
19,71132,2,5,1910,Rental Building,0.095,0.25,0.25,0.28,0.33,25.12804739,6850,Rent,1,2,1500
20,71133,2,3,1901,Rental Building,0.095,0.25,0.25,0.29,0.34,24.91576812,3700,Rent,1,1,700
22,71161,2,4,1899,Two-Family Home,0.095,0.15,0.35,0.4,0.42,24.93107769,13000,Rent,2,2,2904
25,71365,2,2,1901,Two-Family Home,0.12,0.21,0.28,0.34,0.39,22.1719457,18000,Rent,4,5,4368
35,71600,1,3,1899,Single-Family Home,0.095,0.19,0.2,0.26,0.35,27.49277039,18000,Rent,5,3.5,5000
42,72023,3,3,1900,Three-Family Home,0.24,0.36,0.4,0.44,0.46,13.89108476,12750,Rent,3,3,2404
44,72151,2,3,1920,Rental Building,0.15,0.19,0.2,0.22,0.35,24.33242196,4000,Rent,2,2,772
48,72296,3,4,1901,Rental Building,0.17,0.35,0.36,0.37,0.43,16.54555767,3150,Rent,2,1,680
53,72392,3,4,1901,Three-Family Home,0.32,0.35,0.39,0.44,0.57,12.57335866,6900,Rent,3,2,1600
54,72433,3,4,1910,Rental Building,0.26,0.33,0.36,0.4,0.41,14.59325904,3650,Rent,1,1.5,1200
56,72499,2,4,1901,Condo,0.28,0.42,0.43,0.45,0.48,12.5835179,8200,Rent,3,3.5,1800
57,72515,3,4,1899,Three-Family Home,0.32,0.41,0.45,0.48,0.53,11.7563724,5350,Rent,3,1.5,1100
58,72515,3,4,1899,Three-Family Home,0.32,0.41,0.45,0.48,0.53,11.7563724,5350,Rent,3,1.5,1100
62,72610,34,21,2008,Condo,0.095,0.3,0.42,0.43,0.49,20.60699923,6999,Rent,2,2,1227
63,72616,2,3,1899,Rental Building,0.2,0.41,0.45,0.53,0.74,12.89939042,5000,Rent,2,2,1100
64,72616,2,3,1899,Rental Building,0.2,0.41,0.45,0.53,0.74,12.89939042,5000,Rent,2,2,1100
73,72721,3,3,1901,Rental Building,0.26,0.27,0.43,0.44,0.51,14.10895053,3600,Rent,2,1,1200
74,72745,3,3,1899,Rental Building,0.095,0.35,0.43,0.45,0.56,19.71697655,2500,Rent,1,1,600
83,72831,2,3,1901,Two-Family Home,0.24,0.28,0.41,0.44,0.46,14.62375994,4200,Rent,1,1,812
85,72920,2,3,1899,Two-Family Home,0.13,0.3,0.56,0.57,0.59,16.26065653,11000,Rent,5,3.5,3100
97,73068,3,5,1930,Rental Building,0.43,0.44,0.56,0.59,0.6,9.745604875,3250,Rent,1,1,1000
102,73201,3,5,1899,Rental Building,0.26,0.29,0.39,0.51,0.56,13.60503087,11000,Rent,3,2.5,2100
106,73319,1,4,1899,Single-Family Home,0.095,0.095,0.19,0.27,0.37,32.72219588,10000,Rent,1,1,825
129,73940,2,6,1920,Two-Family Home,0.22,0.44,0.47,0.48,0.62,12.64207795,17500,Rent,5,4,5000
132,74029,1,4,1910,Single-Family Home,0.23,0.25,0.26,0.41,0.62,16.24590755,19500,Rent,4,5,3200
136,74110,1,3,1899,Single-Family Home,0.095,0.19,0.42,0.44,0.6,22.10982,4060,Rent,3,1,1000
138,74140,2,3,1899,Two-Family Home,0.095,0.28,0.38,0.48,0.66,20.32780816,18000,Rent,5,3.5,2800
141,74173,2,3,1920,Rental Building,0.14,0.34,0.38,0.45,0.66,16.4529863,3300,Rent,1,1.5,1050
142,74181,1,3,1901,Two-Family Home,0.095,0.3,0.45,0.52,0.6,19.67161493,3995,Rent,1,1,1500
147,74257,1,3,1899,Rental Building,0.42,0.56,0.64,0.79,0.8,8.244989451,14975,Rent,3,2.5,2
148,74257,1,3,1899,Rental Building,0.42,0.56,0.64,0.79,0.8,8.244989451,14975,Rent,3,2.5,2
152,74297,2,3,1899,Condo,0.35,0.47,0.55,0.7,0.74,9.58290703,3650,Rent,1,1.5,950
153,74297,2,3,1899,Condo,0.35,0.47,0.55,0.7,0.74,9.58290703,3650,Rent,1,1.5,950
155,74349,3,4,2000,Rental Building,0.25,0.28,0.43,0.43,0.46,14.39650441,3495,Rent,3,1,1000
156,74359,3,4,2000,Three-Family Home,0.23,0.29,0.41,0.44,0.47,14.63551319,4100,Rent,3,1.5,1800
161,74538,3,3,1899,Three-Family Home,0.53,0.62,0.68,0.87,-999,6.1187082,3750,Rent,3,2.5,2000
162,74543,3,3,1998,Rental Building,0.16,0.34,0.41,0.42,0.45,16.23337546,4300,Rent,3,2,3200
163,74543,3,3,1998,Rental Building,0.16,0.34,0.41,0.42,0.45,16.23337546,4300,Rent,3,2,3200
164,74543,3,3,1998,Rental Building,0.16,0.34,0.41,0.42,0.45,16.23337546,4300,Rent,3,2,3200
165,74569,3,3,1909,Three-Family Home,0.19,0.28,0.45,0.45,0.46,15.45294395,5500,Rent,3,3,3000
166,74599,2,4,1909,Rental Building,0.21,0.25,0.45,0.5,0.51,14.9449113,3000,Rent,2,1,895
167,74624,3,3,1909,Rental Building,0.095,0.38,0.45,0.48,0.54,19.31530214,2300,Rent,1,1,750
168,74644,2,3,1909,Rental Building,0.095,0.4,0.46,0.51,0.51,19.12179746,6200,Rent,3,2,2200
169,74700,3,3,1909,Rental Building,0.15,0.38,0.42,0.51,0.59,15.33489756,4495,Rent,3,2,1200
170,74700,3,3,1909,Rental Building,0.15,0.38,0.42,0.51,0.59,15.33489756,4495,Rent,3,2,1200
173,74794,3,4,2001,Rental Building,0.21,0.36,0.37,0.46,0.46,14.59021133,2350,Rent,2,1,1000
177,74824,3,3,1905,Three-Family Home,0.14,0.37,0.55,0.55,0.64,15.04442348,2490,Rent,2,1,950
180,74910,1,2,1899,Single-Family Home,0.2,0.3,0.57,0.59,0.61,13.42197881,3000,Rent,2,2.5,1500
181,74910,1,2,1899,Single-Family Home,0.2,0.3,0.57,0.59,0.61,13.42197881,3000,Rent,2,2.5,1500
182,74985,3,4,1900,Rental Building,0.39,0.45,0.58,0.84,0.87,8.850364195,3000,Rent,3,1,999
185,75084,3,3,1900,Rental Building,0.15,0.21,0.29,0.3,0.51,20.17096494,2875,Rent,1,1,800
187,75111,2,3,1905,None,0.13,0.23,0.36,0.46,0.47,19.11948417,8950,Rent,5,3.5,3670
188,75173,3,3,1905,Three-Family Home,0.15,0.31,0.43,0.55,0.61,15.67558059,11995,Rent,4,3,2200
189,75193,1,5,1925,None,0.2,0.23,0.52,0.55,0.59,14.78400008,13000,Rent,4,4,6500
195,75210,3,3,1999,Rental Building,0.095,0.27,0.33,0.41,0.46,21.87325996,2800,Rent,3,2,1700
200,75227,3,3,1998,Three-Family Home,0.095,0.29,0.35,0.38,0.49,21.50412978,1800,Rent,1,1,725
201,75227,3,3,1998,Three-Family Home,0.095,0.29,0.35,0.38,0.49,21.50412978,1800,Rent,1,1,725
202,75229,3,3,2004,Rental Building,0.095,0.31,0.36,0.37,0.5,21.23260272,5500,Rent,3,2.5,2600
204,75324,3,3,1910,Three-Family Home,0.13,0.33,0.43,0.45,0.53,17.15720679,4500,Rent,2,1,1000
205,75395,3,3,2000,Three-Family Home,0.26,0.3,0.36,0.51,0.64,13.48054927,3995,Rent,3,2,1600
206,75556,3,4,1910,Condo,0.23,0.28,0.34,0.42,0.65,14.77984505,3100,Rent,2,1,900
217,76139,3,3,1901,Three-Family Home,0.095,0.37,0.39,0.4,0.46,20.4670341,2500,Rent,3,2.5,1600
221,76352,3,4,1920,Rental Building,0.12,0.26,0.4,0.41,0.42,19.49946395,1900,Rent,2,1,800
228,76636,2,3,1905,Two-Family Home,0.095,0.34,0.36,0.36,0.38,21.65462676,1800,Rent,1,1,900
233,76701,16,6,2008,Rental Building,0.14,0.21,0.33,0.4,0.51,19.39584925,1850,Rent,1,1,525
236,76771,3,3,1899,Rental Building,0.2,0.39,0.49,0.51,0.71,12.97415391,1800,Rent,2,1,950
237,76771,3,3,1899,Rental Building,0.2,0.39,0.49,0.51,0.71,12.97415391,1800,Rent,2,1,950
238,76790,3,3,1900,Rental Building,0.11,0.32,0.41,0.46,0.63,18.41614811,2700,Rent,2,2.5,2500
244,773087,280,24,2005,Rental Building,0.12,0.38,0.38,0.45,0.47,17.94637302,6250,Rent,1,1,550
245,773090,208,9,1998,Rental Building,0.27,0.28,0.29,0.33,0.37,16.45641387,4275,Rent,2,2,1004
250,773096,174,15,1985,Condo,0.23,0.27,0.33,0.35,0.38,16.57055463,2260,Rent,1,1,787
251,773103,293,27,2002,Rental Building,0.11,0.42,0.42,0.48,0.51,17.8969315,4400,Rent,1,1,875
253,773106,274,25,2004,Rental Building,0.17,0.38,0.4,0.46,0.48,15.27117827,3800,Rent,1,1,770
255,773115,243,31,2006,Condo,0.095,0.38,0.39,0.43,0.48,20.13091203,10500,Rent,3,3,1587
257,775508,133,15,1986,Condo,0.26,0.3,0.35,0.36,0.36,15.59218559,5900,Rent,2,2,1700
259,775511,246,25,1987,Condo,0.26,0.29,0.35,0.39,0.4,15.21567513,3195,Rent,1,1,618
262,775514,545,46,1987,Condo,0.16,0.19,0.25,0.31,0.32,21.86396435,2995,Rent,1,1,725
265,775804,397,27,1969,Rental Building,0.095,0.11,0.16,0.24,0.25,34.03389155,3500,Rent,3,1,800
266,775804,397,27,1969,Rental Building,0.095,0.11,0.16,0.24,0.25,34.03389155,3500,Rent,3,1,800
267,775804,397,27,1969,Rental Building,0.095,0.11,0.16,0.24,0.25,34.03389155,3500,Rent,3,1,800
273,775827,452,37,1929,Condo,0.095,0.095,0.12,0.2,0.23,38.733791,2600,Rent,1,1,700
274,775827,452,37,1929,Condo,0.095,0.095,0.12,0.2,0.23,38.733791,2600,Rent,1,1,700
275,775827,452,37,1929,Condo,0.095,0.095,0.12,0.2,0.23,38.733791,2600,Rent,1,1,700
276,775832,6,7,1900,Rental Building,0.095,0.095,0.095,0.16,0.21,42.59085213,6795,Rent,3,2.5,2000
279,775856,158,31,1982,Condo,0.095,0.095,0.12,0.13,0.13,44.7705803,6400,Rent,2,2,1337
280,775861,308,21,1900,Condo,0.095,0.095,0.12,0.16,0.17,41.51831785,5395,Rent,2,2,1200
281,776211,382,42,1914,Condo,0.095,0.095,0.095,0.14,0.18,44.27736007,5195,Rent,2,2,1300
282,776211,382,42,1914,Condo,0.095,0.095,0.095,0.14,0.18,44.27736007,5195,Rent,2,2,1300
283,776211,382,42,1914,Condo,0.095,0.095,0.095,0.14,0.18,44.27736007,5195,Rent,2,2,1300
293,776932,21,13,1900,Rental Building,0.12,0.13,0.15,0.18,0.24,32.41452991,6500,Rent,3,2,1737
294,776932,21,13,1900,Rental Building,0.12,0.13,0.15,0.18,0.24,32.41452991,6500,Rent,3,2,1737
298,777115,206,18,1926,Rental Building,0.095,0.13,0.18,0.23,0.27,31.82570883,4250,Rent,1,1,1104
299,777118,410,24,1908,Rental Building,0.14,0.19,0.19,0.23,0.29,25.46527488,3200,Rent,1,1,875
305,777217,221,29,1931,Rental Building,0.18,0.18,0.27,0.29,0.29,21.71136654,3425,Rent,3,1,1000
307,777413,439,25,2003,Condo,0.17,0.22,0.3,0.31,0.31,20.21275372,2695,Rent,1,1,670
308,777413,439,25,2003,Condo,0.17,0.22,0.3,0.31,0.31,20.21275372,2695,Rent,1,1,670
328,777738,19,14,1919,Condo,0.095,0.19,0.2,0.21,0.22,30.09683299,3800,Rent,1,1.5,940
329,777821,3,4,1920,Rental Building,0.32,0.36,0.37,0.4,0.41,13.54450487,3450,Rent,1,1,750
330,777864,15,5,1910,None,0.35,0.35,0.36,0.38,0.38,13.75522139,5500,Rent,1,1,960
333,778005,27,7,1900,Condo,0.3,0.33,0.35,0.41,0.42,14.04075599,3750,Rent,1,2,1159
337,778133,8,5,1920,Rental Building,0.095,0.095,0.095,0.095,0.18,47.66081871,7250,Rent,2,2,1800
345,778394,4,6,1915,Condo,0.095,0.095,0.095,0.11,0.18,46.22541201,6000,Rent,2,2,1800
356,778804,121,12,1997,Rental Building,0.16,0.24,0.25,0.25,0.25,22.41666667,3300,Rent,1,1,750
357,778899,79,11,1987,Condo,0.19,0.25,0.27,0.29,0.29,19.86341332,3700,Rent,1,1,700
358,778899,79,11,1987,Condo,0.19,0.25,0.27,0.29,0.29,19.86341332,3700,Rent,1,1,700
361,779009,7,5,1920,Rental Building,0.24,0.25,0.3,0.33,0.33,17.56060606,6950,Rent,2,1,2000
362,779012,4,5,1915,Mixed-Use Building,0.23,0.25,0.32,0.34,0.35,17.27114541,7500,Rent,2,2,1300
376,779556,5,6,1900,Rental Building,0.15,0.22,0.23,0.23,0.24,24.07444005,5000,Rent,1,1,1400
383,779676,16,5,1935,Rental Building,0.13,0.15,0.17,0.21,0.22,29.54868661,6500,Rent,3,2,1550
384,779676,16,5,1935,Rental Building,0.13,0.15,0.17,0.21,0.22,29.54868661,6500,Rent,3,2,1550
399,780184,91,17,2014,Condo,0.19,0.24,0.27,0.27,0.27,20.54093567,12000,Rent,2,2.5,1515
