,id,location,name,link,location_new,x,y
0,18475,"40.76200104,-73.99980164",Atelier,/building/atelier-condominium,"['40.76200104', '-73.99980164']",40.76200104,-73.99980164
1,16809,"40.76129913,-73.98269653",150 West 51st Street,/building/150-west-51-street-new_york,"['40.76129913', '-73.98269653']",40.76129913,-73.98269653
2,17620,"40.76679993,-73.98419952",The Sheffield,/building/the-sheffield,"['40.76679993', '-73.98419952']",40.76679993,-73.98419952
3,270,"40.70909882,-74.01370239",W Downtown Hotel & Residences,/building/w-downtown-hotel-residences,"['40.70909882', '-74.01370239']",40.70909882,-74.01370239
4,148,"40.70539856,-74.01039886",15 William Street,/building/15-william-street-new_york,"['40.70539856', '-74.01039886']",40.70539856,-74.01039886
5,16893,"40.76620102,-73.97859955",JW Marriott Essex House,/building/jw-marriott-essex-house,"['40.76620102', '-73.97859955']",40.76620102,-73.97859955
6,194,"40.70500183,-74.00810242",75 Wall Street,/building/75-wall-street-new_york,"['40.70500183', '-74.00810242']",40.70500183,-74.00810242
7,16607,"40.74629974,-73.97270203",The Corinthian,/building/the-corinthian,"['40.74629974', '-73.97270203']",40.74629974,-73.97270203
8,112,"40.707901,-74.01409912",Greenwich Club,/building/greenwich-club,"['40.707901', '-74.01409912']",40.707901,-74.01409912
9,16861,"40.76539993,-73.97910309",One57,/building/one57-condominium,"['40.76539993', '-73.97910309']",40.76539993,-73.97910309
10,18617,"40.76910019,-73.9815979",Trump International,/building/trump-international,"['40.76910019', '-73.9815979']",40.76910019,-73.9815979
11,18475,"40.76200104,-73.99980164",Atelier,/building/atelier-condominium,"['40.76200104', '-73.99980164']",40.76200104,-73.99980164
12,16809,"40.76129913,-73.98269653",150 West 51st Street,/building/150-west-51-street-new_york,"['40.76129913', '-73.98269653']",40.76129913,-73.98269653
13,17620,"40.76679993,-73.98419952",The Sheffield,/building/the-sheffield,"['40.76679993', '-73.98419952']",40.76679993,-73.98419952
14,270,"40.70909882,-74.01370239",W Downtown Hotel & Residences,/building/w-downtown-hotel-residences,"['40.70909882', '-74.01370239']",40.70909882,-74.01370239
15,148,"40.70539856,-74.01039886",15 William Street,/building/15-william-street-new_york,"['40.70539856', '-74.01039886']",40.70539856,-74.01039886
16,16893,"40.76620102,-73.97859955",JW Marriott Essex House,/building/jw-marriott-essex-house,"['40.76620102', '-73.97859955']",40.76620102,-73.97859955
17,194,"40.70500183,-74.00810242",75 Wall Street,/building/75-wall-street-new_york,"['40.70500183', '-74.00810242']",40.70500183,-74.00810242
18,16607,"40.74629974,-73.97270203",The Corinthian,/building/the-corinthian,"['40.74629974', '-73.97270203']",40.74629974,-73.97270203
19,112,"40.707901,-74.01409912",Greenwich Club,/building/greenwich-club,"['40.707901', '-74.01409912']",40.707901,-74.01409912
20,16861,"40.76539993,-73.97910309",One57,/building/one57-condominium,"['40.76539993', '-73.97910309']",40.76539993,-73.97910309
21,18617,"40.76910019,-73.9815979",Trump International,/building/trump-international,"['40.76910019', '-73.9815979']",40.76910019,-73.9815979
22,59,"40.70619965,-74.01560211",Downtown Athletic Club Building,/building/downtown-athletic-club-building,"['40.70619965', '-74.01560211']",40.70619965,-74.01560211
23,16255,"40.74850082,-73.97589874",The Lindley,/building/the-lindley,"['40.74850082', '-73.97589874']",40.74850082,-73.97589874
24,23725,"40.7594986,-73.96459961",The Excelsior,/building/the-excelsior,"['40.7594986', '-73.96459961']",40.7594986,-73.96459961
25,38634,"40.81980133,-73.95680237",3333 Broadway,/building/3333-broadway-new_york,"['40.81980133', '-73.95680237']",40.81980133,-73.95680237
26,850076,"40.77640152,-73.9890976",Trump Place 120,/building/trump-place-120,"['40.77640152', '-73.9890976']",40.77640152,-73.9890976
27,23454,"40.75249863,-73.96779633",Trump World Tower,/building/trump-world-tower,"['40.75249863', '-73.96779633']",40.75249863,-73.96779633
28,22721,"40.76229858,-73.97389984",Trump Tower,/building/trump-tower,"['40.76229858', '-73.97389984']",40.76229858,-73.97389984
29,25673,"40.76509857,-73.96250153",Manhattan House,/building/manhattan-house,"['40.76509857', '-73.96250153']",40.76509857,-73.96250153
30,17174,"40.75790024,-73.99230194",ORION Condominium,/building/orion-condominium,"['40.75790024', '-73.99230194']",40.75790024,-73.99230194
31,6257319,"40.7474,-73.9714",685 First Avenue,/building/685-first-avenue-manhattan,"['40.7474', '-73.9714']",40.7474,-73.9714
32,821,"40.71519852,-74.01249695",111 Murray Street,/building/111-murray-street,"['40.71519852', '-74.01249695']",40.71519852,-74.01249695
33,6244186,"40.77199936,-73.99060059",One West End,/building/one-west-end,"['40.77199936', '-73.99060059']",40.77199936,-73.99060059
34,22441,"40.76449966,-73.97450256",The Plaza Condominium & Residences,/building/the-plaza-condominium-residences,"['40.76449966', '-73.97450256']",40.76449966,-73.97450256
35,241,"40.70769882,-74.00980377",20 Pine - The Collection,/building/20-pine-the-collection,"['40.70769882', '-74.00980377']",40.70769882,-74.00980377
36,10853,"40.74900055,-74.0059967",555 West 23rd Street,/building/555-west-23-street-new_york,"['40.74900055', '-74.0059967']",40.74900055,-74.0059967
37,322679,"40.77569962,-73.98999786",The Aldyn,/building/the-aldyn,"['40.77569962', '-73.98999786']",40.77569962,-73.98999786
38,14728,"40.73450089,-73.98919678",Zeckendorf Towers,/building/zeckendorf-towers,"['40.73450089', '-73.98919678']",40.73450089,-73.98919678
39,149,"40.70650101,-74.01059723",Downtown by Philippe Starck,/building/downtown-by-philippe-starck,"['40.70650101', '-74.01059723']",40.70650101,-74.01059723
40,5988587,"40.71020126,-73.98930359",One Manhattan Square,/building/one-manhattan-square,"['40.71020126', '-73.98930359']",40.71020126,-73.98930359
41,17451,"40.76290131,-73.9885025",Two WorldWide Plaza,/building/two-worldwide-plaza,"['40.76290131', '-73.9885025']",40.76290131,-73.9885025
42,24028,"40.76509857,-73.97170258",The Pierre,/building/the-pierre,"['40.76509857', '-73.97170258']",40.76509857,-73.97170258
43,23366,"40.7478981,-73.97090149",5 Tudor City Place,/building/5-tudor-city-place-new_york,"['40.7478981', '-73.97090149']",40.7478981,-73.97090149
44,11373,"40.75230026,-73.99839783",The Eugene,/building/the-eugene,"['40.75230026', '-73.99839783']",40.75230026,-73.99839783
45,644,"40.71279907,-74.00900269",30 Park Place,/building/30-park-place-new_york,"['40.71279907', '-74.00900269']",40.71279907,-74.00900269
46,322678,"40.77550125,-73.9885025",The Rushmore,/building/the-rushmore,"['40.77550125', '-73.9885025']",40.77550125,-73.9885025
47,16848,"40.76409912,-73.97779846",Carnegie House,/building/carnegie-house,"['40.76409912', '-73.97779846']",40.76409912,-73.97779846
48,18628,"40.77080154,-73.9815979",30 Lincoln Plaza,/building/30-lincoln-plaza,"['40.77080154', '-73.9815979']",40.77080154,-73.9815979
49,22983,"40.76169968,-73.97039795",465 Park Avenue,/building/465-park-avenue-new_york,"['40.76169968', '-73.97039795']",40.76169968,-73.97039795
50,22628,"40.75920105,-73.97609711",Olympic Tower,/building/olympic-tower,"['40.75920105', '-73.97609711']",40.75920105,-73.97609711
51,18630,"40.770401,-73.98090363",The Century Condominium,/building/the-century-condominium,"['40.770401', '-73.98090363']",40.770401,-73.98090363
52,18277,"40.76100159,-73.99549866",Charlie West,/building/charlie-west,"['40.76100159', '-73.99549866']",40.76100159,-73.99549866
53,14942,"40.73929977,-73.98539734",121 E 22nd,/building/121-e-22nd,"['40.73929977', '-73.98539734']",40.73929977,-73.98539734
54,6244465,"40.7734418,-73.9915436",Two Waterline Square,/building/two-waterline-square,"['40.7734418', '-73.9915436']",40.7734418,-73.9915436
55,23933,"40.75870132,-73.96089935",The Sovereign,/building/the-sovereign,"['40.75870132', '-73.96089935']",40.75870132,-73.96089935
56,23886,"40.75709915,-73.96309662",Plaza 400,/building/plaza-400,"['40.75709915', '-73.96309662']",40.75709915,-73.96309662
57,11099,"40.74349976,-74.00640106",The Caledonia,/building/the-caledonia,"['40.74349976', '-74.00640106']",40.74349976,-74.00640106
58,17012,"40.7602005,-73.98429871",1600 Broadway on The Square,/building/1600-broadway-on-the-square,"['40.7602005', '-73.98429871']",40.7602005,-73.98429871
59,19927,"40.7765007,-73.99060059",21 West End Avenue,/building/21-west-end-avenue-new_york,"['40.7765007', '-73.99060059']",40.7765007,-73.99060059
60,1189,"40.71770096,-74.00640106",56 Leonard,/building/56-leonard,"['40.71770096', '-74.00640106']",40.71770096,-74.00640106
61,14544,"40.74729919,-73.98490143",325 Fifth Avenue,/building/325-5-avenue-new_york,"['40.74729919', '-73.98490143']",40.74729919,-73.98490143
62,22987,"40.76179886,-73.96970367",The Galleria,/building/the-galleria,"['40.76179886', '-73.96970367']",40.76179886,-73.96970367
63,19940,"40.77840042,-73.98789978",180 Riverside Blvd,/building/180-riverside-blvd,"['40.77840042', '-73.98789978']",40.77840042,-73.98789978
64,19942,"40.77759933,-73.98829651",160 Riverside Blvd,/building/160-riverside-blvd,"['40.77759933', '-73.98829651']",40.77759933,-73.98829651
65,104,"40.70560074,-74.01750183",The Ritz-Carlton,/building/the-ritz-carlton,"['40.70560074', '-74.01750183']",40.70560074,-74.01750183
66,410,"40.70819855,-74.0059967",99 John Deco Lofts,/building/99-john-deco-lofts,"['40.70819855', '-74.0059967']",40.70819855,-74.0059967
67,15723,"40.73630142,-73.98390198",The Tower at Gramercy Square ,/building/the-tower-at-gramercy-square,"['40.73630142', '-73.98390198']",40.73630142,-73.98390198
68,17462,"40.76259995,-73.98619843",Longacre House,/building/longacre-house,"['40.76259995', '-73.98619843']",40.76259995,-73.98619843
